Question,Answer,Type,Options
She ________ to school every day.,A,Multiple Choice (Single),"A. walks, B. walk, C. walking, D. is walk"
Either the teacher or the students ________ going to clean the classroom.,B,Multiple Choice (Single),"A. is, B. are, C. am, D. be"
The book ________ I bought yesterday is very interesting.,B,Multiple Choice (Single),"A. who, B. which, C. whom, D. whose"
"If it ________ tomorrow, we will cancel the picnic.",C,Multiple Choice (Single),"A. rain, B. rained, C. rains, D. will rain"
"By the time the police arrived, the thief ________.",D,Multiple Choice (Single),"A. escapes, B. has escaped, C. escaping, D. had escaped"
I am looking forward to ________ you soon.,C,Multiple Choice (Single),"A. see, B. seen, C. seeing, D. saw"
He is ________ intelligent boy that everyone likes him.,B,Multiple Choice (Single),"A. so, B. such an, C. such, D. very"
Under no circumstances ________ leave the room during the exam.,A,Multiple Choice (Single),"A. should you, B. you should, C. you can, D. did you"
The heavy rain prevented us ________ going hiking.,D,Multiple Choice (Single),"A. to, B. for, C. with, D. from"
I would rather ________ at home than go out in this bad weather.,A,Multiple Choice (Single),"A. stay, B. to stay, C. staying, D. stayed"
"Which of the following words can be used to fill in the blank? ""He is fluent ________ English.""","A,B",Multiple Choice (Multiple),"A. in, B. at, C. with, D. for"
Choose the correct sentences.,"B,C",Multiple Choice (Multiple),"A. She don't like apples., B. She doesn't like apples., C. They don't like apples., D. They doesn't like apples."
Which of the following relative pronouns can refer to a person?,"A,B,D",Multiple Choice (Multiple),"A. who, B. whom, C. which, D. that"
Select all sentences that use the passive voice correctly.,"A,D",Multiple Choice (Multiple),"A. The cake was eaten by the children., B. The cake was eat by the children., C. The house built in 1990., D. The house was built in 1990."
"Which words can complete the sentence: ""I don't have ________ money.""?","B,C",Multiple Choice (Multiple),"A. many, B. any, C. much, D. a"
"Choose the correct negative forms of ""He has finished his homework.""","B,D",Multiple Choice (Multiple),"A. He hasn't finished his homework yet., B. He has not finished his homework., C. He didn't finished his homework., D. He has yet to finish his homework."
Which of the following are uncountable nouns?,"B,C,D",Multiple Choice (Multiple),"A. apple, B. water, C. information, D. advice"
"Select the sentences that correctly use ""used to"".","A,C",Multiple Choice (Multiple),"A. I used to live in London., B. I used to living in London., C. I am used to living in London., D. I am used to live in London."
Which conjunctions can express contrast?,"A,B,C",Multiple Choice (Multiple),"A. although, B. however, C. while, D. because"
Choose the correct comparative or superlative sentences.,"A,D",Multiple Choice (Multiple),"A. This book is more interesting than that one., B. This book is more interest than that one., C. He is the most tallest boy in class., D. He is the tallest boy in class."
"The word ""beautiful"" is a noun.",FALSE,True/False,"True, False"
"In the sentence ""He runs fast,"" the word ""fast"" is an adverb.",TRUE,True/False,"True, False"
"""Information"" is a countable noun, so we can say ""an information"".",FALSE,True/False,"True, False"
"The past tense of ""read"" is pronounced differently from its base form, though spelled the same.",TRUE,True/False,"True, False"
"We use ""since"" to indicate a specific point in time in the past.",TRUE,True/False,"True, False"
"""Unless"" means the same as ""if... not"".",TRUE,True/False,"True, False"
The gerund (V-ing) can function as the subject of a sentence.,TRUE,True/False,"True, False"
"We can use the modal verb ""must"" to express a strong recommendation.",TRUE,True/False,"True, False"
"""Furniture"" can be pluralized as ""furnitures"".",FALSE,True/False,"True, False"
"In conditional sentences type 3 (unreal past), we use ""would + base verb"" in the main clause.",FALSE,True/False,"True, False"
"Write the past participle form of the verb ""go"".",gone,Fill in the Blank,No options
"Complete the sentence with the correct preposition: ""She is interested ________ art.""",in,Fill in the Blank,No options
"Fill in the blank with the correct form of ""be"": ""The news ________ shocking.""",is,Fill in the Blank,No options
"Turn the verb into the correct form: ""I suggested ________ (go) for a walk.""",going,Fill in the Blank,No options
"Fill in the blank with ""make"" or ""do"": ""I need to ________ a phone call.""",make,Fill in the Blank,No options
"Fill in the blank with a relative pronoun: ""The man ________ car was stolen called the police.""",whose,Fill in the Blank,No options
"Complete the sentence: ""If I ________ (be) you, I would accept the offer.""",were,Fill in the Blank,No options
"Write the opposite of ""interesting"" using a prefix or suffix.",uninteresting,Fill in the Blank,No options
"Fill in the blank: ""He has been working here ________ five years.""",for,Fill in the Blank,No options
"Complete the question tag: ""You are coming to the party, ________ you?""",aren't,Fill in the Blank,No options
