英文單字 (Word),詞性 (Part of Speech),中文字義 (Meaning)
ability,n.,能力
accident,n.,意外
achieve,v.,達成
activity,n.,活動
advantage,n.,優勢
advertise,v.,打廣告
advice,n.,建議
agriculture,n.,農業
alphabet,n.,字母
ambulance,n.,救護車
ancient,adj.,古代的
appearance,n.,外表
appreciate,v.,欣賞/感激
aquarium,n.,水族館
architect,n.,建築師
arrangement,n.,安排
artificial,adj.,人造的
assistance,n.,協助
atmosphere,n.,大氣/氣氛
audience,n.,觀眾
available,adj.,可得到的/空閒的
background,n.,背景
balance,n./v.,平衡
barbecue,n.,烤肉
beautifully,adv.,美麗地
beginner,n.,初學者
behavior,n.,行為
believable,adj.,可信的
belongings,n.,財產
beneficial,adj.,有益的
biography,n.,傳記
blanket,n.,毯子
borrow,v.,借入
bravery,n.,勇敢
broadcast,v./n.,廣播
business,n.,生意/事情
calculator,n.,計算機
calendar,n.,日曆
campaign,n.,活動/競選
cancel,v.,取消
candidate,n.,候選人
capacity,n.,容量/能力
celebrate,v.,慶祝
century,n.,世紀
ceremony,n.,典禮
challenge,n./v.,挑戰
character,n.,角色/個性
charity,n.,慈善機構
chemical,adj./n.,化學的/化學製品
childhood,n.,童年
chimney,n.,煙囪
chocolate,n.,巧克力
choice,n.,選擇
citizen,n.,公民
civilization,n.,文明
climate,n.,氣候
collection,n.,收集
comfortable,adj.,舒適的
command,v./n.,命令
commercial,adj./n.,商業的/廣告
committee,n.,委員會
communicate,v.,溝通
community,n.,社區
companion,n.,同伴
comparison,n.,比較
compete,v.,競爭
complain,v.,抱怨
complete,adj./v.,完整的/完成
complex,adj.,複雜的
compliment,n./v.,讚美
compose,v.,組成/作曲
compromise,n./v.,妥協
computer,n.,電腦
concentrate,v.,專心
concern,n./v.,關心/使擔心
concert,n.,音樂會
conclusion,n.,結論
condition,n.,條件/狀況
conductor,n.,指揮家/導體
conference,n.,會議
confidence,n.,信心
congratulate,v.,祝賀
connection,n.,連接/關係
conscious,adj.,有意識的
consequence,n.,後果
consider,v.,考慮
consist,v.,由...組成
constant,adj.,持續的
construct,v.,建造
consumer,n.,消費者
contact,n./v.,接觸/聯絡
contain,v.,包含
contemporary,adj.,當代的
content,adj./n.,滿足的/內容
contest,n.,比賽
continent,n.,大陸
continue,v.,繼續
contract,n.,合約
contrast,n./v.,對比
contribute,v.,貢獻
convenient,adj.,方便的
conversation,n.,對話
convey,v.,傳達
convince,v.,說服
cooperate,v.,合作
ability,n.,能力
accident,n.,意外
achieve,v.,達成
activity,n.,活動
advantage,n.,優勢
advertise,v.,打廣告
advice,n.,建議
agriculture,n.,農業
alphabet,n.,字母
ambulance,n.,救護車
ancient,adj.,古代的
appearance,n.,外表
appreciate,v.,欣賞/感激
aquarium,n.,水族館
architect,n.,建築師
