英文單字 (Word),詞性 (Part of Speech),中文字義 (Meaning)
aberration,n.,越軌/異常
acquiesce,v.,默許/順從
acrimonious,adj.,尖刻的/嚴厲的
acumen,n.,敏銳度/聰明
admonish,v.,警告/勸告
aesthetic,adj.,美學的/審美的
affable,adj.,和藹可親的
alacrity,n.,敏捷/輕快
alleviate,v.,減輕/緩和
altruistic,adj.,利他的/無私的
amalgamate,v.,合併/混合
ambivalent,adj.,矛盾的
ameliorate,v.,改善/改良
anachronism,n.,時代錯誤/過時的人事物
animosity,n.,仇恨/敵意
anomaly,n.,異常/不規則
antithesis,n.,對立面
apathetic,adj.,冷淡的/無動於衷的
apocryphal,adj.,虛假的/偽造的
appease,v.,平息/安撫
arbitrary,adj.,任意的/武斷的
arcane,adj.,神祕的/晦澀難懂的
audacious,adj.,大膽的/魯莽的
austere,adj.,嚴厲的/簡樸的
autonomous,adj.,自治的/獨立的
avarice,n.,貪婪
axiom,n.,公理/不證自明 的道理
banal,adj.,陳腐的/平庸的
belligerent,adj.,好戰的/挑釁的
benevolent,adj.,仁慈的/慈善的
benign,adj.,良性的/和藹的
boisterous,adj.,喧鬧的/精力充沛的
bombastic,adj.,誇大的/言過其實的
cacophony,n.,雜音/不和諧音
cadence,n.,抑揚頓挫/節奏
camaraderie,n.,同袍情誼/友情
capricious,adj.,反覆無常的
castigate,v.,嚴厲懲罰/譴責
catalyst,n.,催化劑
caustic,adj.,腐蝕性的/尖刻的
celerity,n.,迅速/敏捷
censure,v./n.,譴責/斥責
chagrin,n.,懊惱/悔恨
charlatan,n.,江湖郎中/騙子
chicanery,n.,詐騙/狡辯
clandestine,adj.,秘密的/暗中的
coalesce,v.,聯合/合併
cogent,adj.,有說服力的
cognizant,adj.,知曉的/意識到的
colloquial,adj.,口語的/通俗的
collusion,n.,共謀/勾結
complacent,adj.,自滿的/得意的
complaisant,adj.,順從的/討好的
comprehensive,adj.,全面的/廣泛的
concede,v.,承認/讓步
conciliatory,adj.,願意和解的
condone,v.,寬恕/原諒
confluence,n.,匯流/聚集
conjecture,n./v.,推測/猜測
connoisseur,n.,鑑賞家/專家
consecrate,v.,奉為神聖/供奉
consensus,n.,共識
conspicuous,adj.,顯眼的/引人注目的
consummate,adj./v.,完美的/圓滿
contentious,adj.,有爭議的/好爭吵的
conundrum,n.,謎題/難題
convivial,adj.,歡樂的/狂歡的
copious,adj.,豐富的/大量的
corroborate,v.,證實/支持
credulity,n.,輕信/易受騙
cryptic,adj.,神祕的/隱晦的
culpable,adj.,有罪的/應受譴責的
cumbersome,adj.,笨重的/累贅的
cursory,adj.,粗略的/草率的
dearth,n.,缺乏/不足
debacle,n.,崩潰/慘敗
debilitate,v.,使衰弱
debunk,v.,揭穿/拆穿
decorum,n.,端莊/禮貌
deference,n.,尊敬/順從
deleterious,adj.,有害的
delineate,v.,描繪/敘述
demagogue,n.,煽動政治家
demure,adj.,端莊的/嚴肅的
denigrate,v.,抹黑/貶低
depravity,n.,墮落/腐敗
deprecate,v.,反對/輕視
derision,n.,嘲笑/嘲弄
derivative,adj.,衍生的/無創意的
desiccate,v.,使乾燥/脫水
despondent,adj.,沮喪的/絕望的
despot,n.,暴君/專制者
destitute,adj.,赤貧的/缺乏的
desultory,adj.,散漫的/隨意的
deterrent,n./adj.,威懾力量/遏制的
aberration,n.,越軌/異常
acquiesce,v.,默許/順從
acrimonious,adj.,尖刻的/嚴厲的
acumen,n.,敏銳度/聰明
admonish,v.,警告/勸告
aesthetic,adj.,美學的/審美的
affable,adj.,和藹可親的
alacrity,n.,敏捷/輕快
alleviate,v.,減輕/緩和
altruistic,adj.,利他的/無私的
amalgamate,v.,合併/混合
ambivalent,adj.,矛盾的
ameliorate,v.,改善/改良
anachronism,n.,時代錯誤/過時的人事物
animosity,n.,仇恨/敵意
anomaly,n.,異常/不規則
antithesis,n.,對立面
apathetic,adj.,冷淡的/無動於衷的
apocryphal,adj.,虛假的/偽造的
appease,v.,平息/安撫
arbitrary,adj.,任意的/武斷的
arcane,adj.,神祕的/晦澀難懂的
audacious,adj.,大膽的/魯莽的
austere,adj.,嚴厲的/簡樸的
autonomous,adj.,自治的/獨立的
