Question,Answer,Type,Options
The CEO decided to ________ his position due to health issues.,C,Multiple Choice (Single),"A. retain, B. assume, C. resign, D. pursue"
She has a vivid ________ and loves writing fictional stories.,A,Multiple Choice (Single),"A. imagination, B. isolation, C. obligation, D. illustration"
The new software is highly ________; even beginners can use it easily.,B,Multiple Choice (Single),"A. hostile, B. intuitive, C. redundant, D. ambiguous"
"After a long and ________ journey, they finally reached the mountain peak.",D,Multiple Choice (Single),"A. trivial, B. fragile, C. superficial, D. grueling"
The local government aims to ________ poverty through new job programs.,A,Multiple Choice (Single),"A. alleviate, B. aggravate, C. advocate, D. accumulate"
His ________ excuse for missing the meeting didn't convince anyone.,B,Multiple Choice (Single),"A. profound, B. flimsy, C. rigid, D. eternal"
The smell of freshly baked bread ________ through the entire house.,C,Multiple Choice (Single),"A. condensed, B. vanished, C. permeated, D. decayed"
Technology has become an ________ part of our daily lives.,D,Multiple Choice (Single),"A. obsolete, B. eccentric, C. abstract, D. indispensable"
The sudden rainstorm caused a ________ delay in the baseball game.,A,Multiple Choice (Single),"A. temporary, B. contemporary, C. permanent, D. continuous"
She showed great ________ by remaining calm during the crisis.,B,Multiple Choice (Single),"A. anxiety, B. resilience, C. reluctance, D. ignorance"
"Which of the following words are synonyms of ""generous""?","A,C",Multiple Choice (Multiple),"A. magnanimous, B. stingy, C. benevolent, D. malicious"
Select all words that can describe something very small.,"B,D",Multiple Choice (Multiple),"A. immense, B. minuscule, C. vast, D. microscopic"
Which of the following nouns refer to a person?,"A,B,D",Multiple Choice (Multiple),"A. physician, B. antagonist, C. architecture, D. beneficiary"
Select all words that have a negative connotation.,"B,C",Multiple Choice (Multiple),"A. prosperous, B. catastrophic, C. deceptive, D. innovative"
"Which prefixes can be added to ""correct"" to change its meaning?","A,C",Multiple Choice (Multiple),"A. in-, B. un-, C. hyper-, D. dis-"
"Choose all adjectives that mean ""very smart or clever"".","A,D",Multiple Choice (Multiple),"A. ingenious, B. naive, C. tedious, D. astute"
"Which words can mean ""to change or adjust""?","B,C,D",Multiple Choice (Multiple),"A. preserve, B. alter, C. adapt, D. modify"
